Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
"2022-08-27T04:53:54",30.2511,35.5943,6.41,0.15,"ML",2.2,"Akdeniz - [74.89 km] Demre (Antalya)",530892
"2022-07-31T08:58:53",30.9088,35.5205,9.42,0.72,"ML",2.4,"Akdeniz - [99.62 km] Kumluca (Antalya)",529456
"2022-07-19T01:31:03",30.0368,36,6.01,0.61,"ML",1.4,"Akdeniz - [26.46 km] Demre (Antalya)",528891
"2022-07-16T20:44:01",31.0526,36.5018,8.77,0.84,"Mw",3.6,"Akdeniz - Antalya Körfezi - [39.32 km] Manavgat (Antalya)",528808
"2022-07-07T18:55:02",35.959,36.7306,7.04,0.65,"ML",2.2,"Akdeniz - İskenderun Körfezi - [14.60 km] Yumurtalık (Adana)",528382
"2022-07-06T03:50:56",31.549,35.531,9.24,0.59,"ML",2,"Akdeniz - [104.88 km] Gazipaşa (Antalya)",528324
"2022-07-05T00:36:34",31.5543,36.7016,8.66,0.87,"ML",1.7,"Akdeniz - Antalya Körfezi - [01.95 km] Manavgat (Antalya)",528245
"2022-07-02T12:19:53",30.97,35.235,8.4,0.6,"ML",1.8,"Akdeniz - [130.90 km] Kumluca (Antalya)",528170
"2022-07-02T03:50:09",30.804,35.0633,8.66,0.8,"ML",2.4,"Akdeniz - [144.24 km] Kumluca (Antalya)",528139
"2022-06-23T06:55:05",36.0566,36.8133,6.99,0.28,"ML",2.6,"Akdeniz - İskenderun Körfezi - [11.60 km] Dörtyol (Hatay)",527721
"2022-06-20T16:39:42",31.2553,36.2733,7.35,0.86,"ML",2.4,"Akdeniz - [56.50 km] Manavgat (Antalya)",527597
"2022-05-29T05:20:36",31.4138,36.6198,7.59,0.79,"ML",1.5,"Akdeniz - Antalya Körfezi - [16.35 km] Manavgat (Antalya)",526516
"2022-05-23T08:22:43",35.5883,36.1781,7.17,0.13,"ML",2.2,"Akdeniz - [22.16 km] Arsuz (Hatay)",526234
"2022-05-22T05:04:34",30.4836,35.9326,7.01,0.34,"ML",2.2,"Akdeniz - [43.59 km] Kumluca (Antalya)",526194
"2022-05-10T15:00:57",30.9931,35.9143,9.86,0.51,"ML",2.2,"Akdeniz - [68.42 km] Kumluca (Antalya)",525615
"2022-05-05T20:36:05",30.9456,36.1456,7.03,0.46,"ML",2.1,"Akdeniz - [50.50 km] Kumluca (Antalya)",525423
"2022-04-29T09:55:36",31.3836,35.8963,8.61,1.05,"ML",2.1,"Akdeniz - [88.44 km] Alanya (Antalya)",525111
"2022-04-28T16:28:49",36.05,36.8083,6.86,0.46,"ML",1.2,"Akdeniz - İskenderun Körfezi - [12.41 km] Dörtyol (Hatay)",525018
"2022-04-24T20:52:49",31.2303,36.1535,6.89,0.54,"ML",1.6,"Akdeniz - [69.33 km] Manavgat (Antalya)",524845
"2022-04-17T23:44:07",30.9235,35.9508,6.98,0.51,"ML",2.6,"Akdeniz - [61.07 km] Kumluca (Antalya)",524450
"2022-04-12T21:07:04",31.5408,35.482,9.94,0.87,"ML",2.2,"Akdeniz - [109.55 km] Gazipaşa (Antalya)",524183
"2022-04-11T15:38:02",31.5558,34.0743,6.54,0.96,"ML",3.1,"Akdeniz - [243.17 km] Anamur (Mersin)",524093
"2022-04-03T23:30:02",35.8305,36.4006,7.15,0.18,"ML",1.6,"Akdeniz - İskenderun Körfezi - [04.88 km] Arsuz (Hatay)",523597
"2022-03-30T06:08:30",31.1186,35.8103,8.84,0.75,"ML",2,"Akdeniz - [84.58 km] Kumluca (Antalya)",523370
"2022-03-11T18:42:36",31.3271,36.1421,6.25,0.23,"ML",1.9,"Akdeniz - [65.74 km] Alanya (Antalya)",522408
"2022-03-06T20:06:11",31.3596,36.3091,7.05,0.52,"ML",2.2,"Akdeniz - [48.82 km] Manavgat (Antalya)",522147
"2022-02-28T19:11:03",31.5981,34.9561,8.39,0.92,"ML",2.7,"Akdeniz - [153.06 km] Gazipaşa (Antalya)",521844
"2022-02-26T00:55:18",35.6908,36.3551,7.19,0.53,"ML",1.4,"Akdeniz - [11.10 km] Arsuz (Hatay)",521645
"2022-02-06T12:31:09",30.6098,36.7391,7.15,0.39,"ML",1.9,"Akdeniz - Antalya Körfezi - [04.52 km] Kemer (Antalya)",520423
"2022-02-05T20:38:16",31.6445,36.4756,9.61,0.3,"ML",1.8,"Akdeniz - Antalya Körfezi - [20.06 km] Alanya (Antalya)",520391
"2022-02-04T13:46:04",35.5218,36.4353,6.04,0.41,"ML",2.2,"Akdeniz - [18.76 km] Karataş (Adana)",520320
"2022-02-01T06:00:55",32.6495,35.7956,6.51,0.39,"ML",1.6,"Akdeniz - [28.20 km] Anamur (Mersin)",520197
"2022-01-29T02:14:04",30.7198,36.2335,6.97,0.24,"ML",2.8,"Akdeniz - [27.99 km] Kumluca (Antalya)",519982
"2022-01-29T01:50:52",30.7401,36.2385,5.56,0.34,"Mw",3.5,"Akdeniz - [29.48 km] Kumluca (Antalya)",519975
"2022-01-28T11:06:12",33.576,36.1516,3.68,0.13,"ML",1.4,"Akdeniz - [02.70 km] Gülnar (Mersin)",519951
"2022-01-28T03:37:53",33.2961,35.8211,7.06,0.43,"ML",1.9,"Akdeniz - [34.71 km] Aydıncık (Mersin)",519926
"2022-01-26T21:26:15",30.081,35.9891,5.05,0.51,"ML",1.9,"Akdeniz - [28.49 km] Demre (Antalya)",519867
"2022-01-20T23:38:48",31.7205,35.2923,5.78,0.81,"ML",1.7,"Akdeniz - [115.62 km] Gazipaşa (Antalya)",519590
"2022-01-15T13:27:32",34.9053,36.282,7.18,0.88,"ML",2.2,"Akdeniz - [47.90 km] Karataş (Adana)",519269
"2022-01-12T18:06:23",34.5341,36.7031,6.78,0.52,"ML",1.9,"Akdeniz - Mersin Körfezi - [04.25 km] Mezitli (Mersin)",519133
"2022-01-05T16:25:59",30.0198,35.9103,7,0.18,"ML",1.5,"Akdeniz - [35.48 km] Demre (Antalya)",518792
"2022-01-01T13:54:09",33.4983,35.8246,5.61,0.23,"ML",1.6,"Akdeniz - [37.51 km] Gülnar (Mersin)",518611
"2021-12-30T18:55:32",35.6205,36.3068,7,0.23,"ML",1.7,"Akdeniz - [15.19 km] Arsuz (Hatay)",518485
"2021-12-29T00:17:34",34.0153,35.9466,7.44,0.24,"ML",1.8,"Akdeniz - [40.38 km] Silifke (Mersin)",518361
